song_name,artist,spotify_id,popularity
IMPORTED (with 6LACK),"Jessie Reyez, 6LACK",2shEeQzAAL3nnOXfB5pJXx,61
Calling My Phone,"Lil Tjay, 6LACK",3J8EOeKLTLXORtWPpOU5bE,74
Mountain at My Gates,Foals,3f7OyfSoDbQC0LRDQiytPp,69
Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",65OVbaJR5O1RmwOQx0875b,77
Hypnotize - 2014 Remaster,The Notorious B.I.G.,7KwZNVEaqikRSBSpyhXK2j,81
Goodie Bag,Still Woozy,4vHNeBWDQpVCmGbaccrRzi,70
meringue doll,Ichiko Aoba,1iPAcVXxspQM3aP8f3JtBQ,42
Horo,Ichiko Aoba,6z0jUF4tN2400ybr30TP1g,0
PRBLMS,6LACK,4AtZRwSR8BOTTQg5ihSggt,67
Reset,070 Shake,5hQ83uQw6jbC5NrQ3s3xvc,34
Over Now,Post Malone,09IOPhEh1OMe0HD9b36FJk,65
Young Jesus,"Logic, Big Lenbo",0KiKfllNTmhImvXVIHqR0z,51
Rich & Sad,Post Malone,2VdT56BGpdqNHUgOe1j5vc,64
chinuhaji,Ichiko Aoba,0crF6i8YteGdbszlG88eQA,0
Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M,84
Postpone,Catfish and the Bottlemen,1IMtCtSqlw3VJv3IvCxkaz,52
Black Cats,ZillaKami,6OfnUW7ojHMgfubWVOeCkN,60
Wolves (feat. Post Malone),"Big Sean, Post Malone",33gwZOGJWEZ7dRWPqPxBEZ,65
Small Talk,Briston Maroney,5kBYMymc2d3h164QqEHwRL,60
Breed,Nirvana,3PyPpABRA2bTGhNwPd66H6,65
Wet Dreamz,J. Cole,4tqcoej1zPvwePZCzuAjJd,80
hooligan,Baby Keem,3diZz7nVRbyuvAXSW7hzI7,12
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino",3ZaEs1O8BG581qYPHpQ8d6,83
STATS,Baby Keem,0w6webWdhjRKdqJ3DeGgM1,61
